gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
BMF,402.0630362795812,0.49013592382945653,0.2160711561660917,0.0010925621610100948,0.08653530684555781
DPYSL2,3153.140437291995,0.47918844884942163,0.21043588390515047,0.0010951913876526657,0.08653530684555781
NR2C2,468.14262560394945,-0.805341726422691,0.3846962780793181,0.0011000250870198025,0.08653530684555781
SIX2,60.75930866513624,1.3092205222726563,0.6522346286473698,0.001137023783845074,0.08904476843529315
FGF13-AS1,7.027782235697589,-0.04948326711237433,0.13191729327424734,0.0011595215536761572,0.09029169845936776
ERI3-IT1,18.232359217944744,-0.0428291066180567,0.1278374765901651,0.0011632863120337692,0.09029169845936776
RN7SL3,331.9917221605525,-0.7173250791175213,0.3445324061630854,0.0011958831318085387,0.09224142870547156
TSPAN8,16815.75878526186,0.5331660370097671,0.24212168496762354,0.0012024259465014616,0.09224142870547156
BORCS7,1148.6261952964267,0.5326320534314322,0.24338528623371578,0.0012053905035539652,0.09224142870547156
TM4SF20,35.3904337904331,1.1035393745504363,0.5469265156951622,0.0012095331638543854,0.09224142870547156
ITGA9,59.40880171243757,-0.820360072060598,0.3996993129581878,0.0012298918565518634,0.09338622340357279
LOC100128079,42.58197805256419,-0.08902011628291827,0.17194374627570008,0.0012628134838716149,0.09547088607070944
NOTCH2NLC,348.4999090239169,-0.8605022555701811,0.4295435541967122,0.0012709957076793537,0.09567529758151826
EMSY-DT,369.16275408915953,0.7458665854922443,0.3645934684955959,0.001281140048727645,0.09602502064798109
HOPX,646.2804581025334,0.798464710921686,0.39615771872397065,0.0013146463127080006,0.09786552929085891
LRRC4,24.86976454718096,-0.10003110347871214,0.18953740152866497,0.0013169033087123134,0.09786552929085891
RPL34P18,2226.7541747686114,0.7834462342906785,0.39079086159400134,0.0013376593751941342,0.09898679376436592
FGF22,78.72131653063299,-0.8022758956844234,0.40163448183103134,0.0013569182575812143,0.09998827194260898
NTNG1,18.420305464804837,1.50774191793194,0.7800130108096694,0.0013646409598658822,0.10009007841880871
PM20D1,34.91155631595913,-0.1385308845426414,0.2957062507732743,0.0013749040677775012,0.10009007841880871
ACSL5,59.678229437999796,0.9706219726536579,0.4945099694443856,0.0013754935192690158,0.10009007841880871
TGFB2,76.81938541838225,-1.0869367167920612,0.5695247091072324,0.0014118219567388428,0.10230729731322469
RPL23AP42,5949.342406213149,0.7562113826240299,0.37924802394279133,0.0014272551222867312,0.1029982787422127
SOX6,86.56243559888924,-0.8535063964656733,0.4397231753788953,0.0014666467627226355,0.10474218206988732
RPS23P8,6330.195835000578,0.7662843295103622,0.38658417882568696,0.0014669637771981062,0.10474218206988732
STS,346.6897102386386,-0.560981089168665,0.2716291645442693,0.001469413342139395,0.10474218206988732
